Ticker,Return (%),Max DD (%),Profit Factor,Win Rate (%),Trades
ADBE,0.0,0.0,0.0,0.0,0
MRK.DE,-3.07,-7.2,0.73,50.0,8
ZS,31.05,-8.01,2.07,46.67,15
ZTS,0.0,0.0,0.0,0.0,0
CBK.DE,88.12,-15.82,3.78,63.64,22
BKNG,9.11,-9.23,1.52,38.46,13
V,8.57,-7.44,1.71,46.67,15
DTE.DE,12.22,-9.49,1.78,50.0,16
EXC,40.54,-1.56,10.66,73.33,15
SRT3.DE,-11.96,-19.66,0.65,38.46,13
ZAL.DE,7.1,-11.54,1.46,37.5,8
FRE.DE,31.54,-5.98,2.44,52.0,25
KTN.DE,31.13,-9.92,2.53,68.75,16
PG,-0.92,-6.76,0.9,42.86,7
MLM,26.95,-3.83,4.09,71.43,14
CVX,44.41,-5.36,3.8,55.0,20
DIS,2.21,-10.75,1.18,35.71,14
META,8.01,-16.83,1.41,35.71,14
MMM,0.42,-12.39,1.06,38.1,21
MRK,9.76,-10.18,1.51,46.15,13
FISV,2.51,-2.12,2.22,25.0,4
ADS.DE,-0.3,-3.87,0.99,25.0,4
