Ticker,Return (%),Max DD (%),Profit Factor,Win Rate (%),Trades
PG,-57.99,-61.33,0.1,20.0,5
MRK,-9.05,-50.77,1.42,33.33,3
1U1.DE,145.46,-40.17,3.7,57.14,7
V,-56.99,-56.99,0.31,14.29,7
ZAL.DE,-81.22,-83.95,0.17,40.0,5
FRE.DE,176.06,-22.76,6.48,85.71,7
FITB,25.3,-43.94,2.03,66.67,6
ADBE,0.0,0.0,0.0,0.0,0
META,-56.92,-76.0,1.01,16.67,6
ZTS,0.0,0.0,0.0,0.0,0
BKNG,-72.97,-72.97,0.4,28.57,7
ADS.DE,-14.15,-14.15,0.0,0.0,1
DIS,-52.11,-67.19,0.82,14.29,7
MMM,-58.15,-58.15,0.25,28.57,7
MRK.DE,-50.24,-50.24,0.38,33.33,3
CBK.DE,160.31,-81.87,2.62,63.64,11
HYQ.DE,-40.4,-40.4,0.0,0.0,1
ZS,51.23,-32.07,2.74,40.0,5
EXC,31.38,-39.77,1.85,50.0,8
KTN.DE,78.56,-55.06,2.61,42.86,7
CHTR,-31.76,-31.76,0.43,25.0,4
